"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-07","83","93","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-08","83","90","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-09","82","90","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-10","82","90","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-11","82","90","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-12","82","90","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-13","81","90","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-14","81","87","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-15","82","91","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-16","83","92","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-17","83","89","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-18","81","87","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-19","79","87","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-20","82","89","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-21","83","91","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-22","84","92","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-23","84","91","79",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-24","84","91","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-25","83","91","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-26","82","91","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-27","82","89","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-28","82","87","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-29","82","90","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-09-30","81","87","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-01","81","87","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-02","81","91","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-03","83","90","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-04","81","88","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-05","80","88","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-06","80","87","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-07","81","86","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-08","81","91","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-09","82","89","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-10","82","89","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-11","83","89","79",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-12","83","89","79",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-13","82","89","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-14","82","87","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-15","82","91","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-16","83","90","77",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-17","82","91","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-18","82","84","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-10-19","76","79","74",
